data,inicio,fim,titulo,local,participantes
2021-03-05,16h40,17h30,Bento Albuquerque -  Ministro de Estado de Minas e Energia,Palácio do Planalto,Joaquim Silva e Luna -  Presidente da Petrobrás; e;André Pepitone da Nóbrega -  Diretor-Geral da Agência Nacional Energia Elétrica (ANEEL).
2021-03-08,10h15,10h30,Paulo Guedes -  Ministro de Estado da Economia; Tarcísio Gomes de Freitas -  Ministro de Estado da Infraestrutura; Ricardo Salles -  Ministro de Estado do Meio Ambiente; e Roberto Campos Neto -  Presidente do Banco Central,Palácio do Planalto,
2021-03-08,10h30,11h30,Albert Bourla -  Presidente da Pfizer (videoconferência),Palácio do Planalto,Braga Netto -  Ministro-Chefe da Casa Civil da Presidência da República;;Paulo Guedes -  Ministro de Estado da Economia;;Tarcísio Gomes de Freitas -  Ministro de Estado da Infraestrutura;;Ricardo Salles -  Ministro de Estado do Meio Ambiente;;José Levi Mello do Amaral Júnior -  Advogado-Geral da União;;Roberto Campos Neto -  Presidente do Banco Central do Brasil; e;Airton Antônio Soligo -  Assessor Especial do Ministério da Saúde.
2021-03-08,14h00,14h30,Rogério Marinho -  Ministro de Estado do Desenvolvimento Regional,Palácio do Planalto,
2021-03-08,14h30,15h00,Jaqueline Roriz -  ex-deputada,Palácio do Planalto,Sr. Joaquim Domingos Roriz Neto
2021-03-08,16h15,16h30,Deputado Daniel Freitas (PSL/SC),Palácio do Planalto,Luiz Eduardo Ramos -  Ministro de Estado Chefe da Secretaria de Governo da Presidência da República.
2021-03-09,10h00,10h30,Senador Jorginho Mello (PL/SC) -  Vice-Líder do PL no Senado Federal,Palácio do Planalto,
2021-03-09,10h30,11h00,Fernando Azevedo -  Ministro de Estado da Defesa,Palácio do Planalto,
2021-03-09,11h00,11h45,Paulo Skaf -  Presidente da Federação das Indústrias do estado de São Paulo - FIESP,Palácio do Planalto,
2021-03-09,16h00,16h40,Senador Zequinha Marinho (PSC/PA) -  Líder do PSC no Senado Federal; e Deputado Aluísio Mendes (PSC/MA) -  Líder do PSC na Câmara dos Deputados,Palácio do Planalto,Luiz Eduardo Ramos -  Ministro-Chefe da Secretaria de Governo da Presidência da República
2021-03-10,09h30,10h00,João Roma -  Ministro de Estado da Cidadania,Palácio do Planalto,Luiz Eduardo Ramos -  Ministro-Chefe da Secretaria de Governo da Presidência da República
2021-03-10,10h00,10h30,Deputado Vermelho (PSD/PR),Palácio do Planalto,Luiz Eduardo Ramos -  Ministro-Chefe da Secretaria de Governo da Presidência da República
2021-03-10,10h30,11h00,Antônio Barra Torres -  Diretor-Presidente da Agência Nacional de Vigilância Sanitária - ANVISA,Palácio do Planalto,
2021-03-10,11h30,12h00,André Mendonça -  Ministro de Estado da Justiça e Segurança Pública,Palácio do Planalto,
2021-03-10,15h00,15h45,Cerimônia de Sanção dos Projetos de Lei que ampliam a capacidade de aquisição de vacinas,Palácio do Planalto,
2021-03-10,15h45,16h00,Humberto Fernandes de Moura -  Subchefe Adjunto Executivo da Subchefia para Assuntos Jurídicos da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-10,16h10,16h30,Marcelo Augusto Xavier da Silva -  Presidente da Fundação Nacional do Índio - FUNAI,Palácio do Planalto,
2021-03-10,16h35,17h05,Marcelo Magalhães -  Secretário Especial do Esporte,Palácio do Planalto,
2021-03-11,08h30,09h00,Braga Netto -  Ministro-Chefe da Casa Civil da Presidência da República,Palácio do Planalto,
2021-03-11,09h40,10h10,Bento Albuquerque -  Ministro de Estado de Minas e Energia,Palácio do Planalto,
2021-03-11,10h15,10h45,Deputado Roman (Patriota/PR),Palácio do Planalto,Bento Albuquerque -  Ministro de Estado de Minas e Energia;;Deputado Ricardo Barros (PP/PR) -  Líder do Governo na Câmara dos Deputados.;Thiago Meirelles Fernandes Pereira -  Secretário Executivo Adjunto da Casa Civil da Presidência da República;;Masoud Jafari -  Empresário; e;Salehri Farshad -  Consultor internacional.
2021-03-11,11h15,12h00,Marcos Pontes -  Ministro de Estado da Ciência -  Tecnologia e Inovações,Palácio do Planalto,
2021-03-11,12h00,12h30,Marcos Pontes -  Ministro de Estado da Ciência -  Tecnologia e Inovações,Palácio do Planalto,Humberto Fernandes de Moura -  Subchefe Adjunto Executivo da Subchefia para Assuntos Jurídicos da Secretaria-Geral da Presidência da República; e;José Vicente Santini -  Secretário Executivo da Secretaria-Geral da Presidência da República
2021-03-11,14h00,15h10,1º encontro de 2021 da Frente Parlamentar da Micro e Pequena Empresa (videoconferência),Palácio do Planalto,Paulo Guedes -  Ministro de Estado da Economia;;Bruno Bianco -  Secretário Especial de Previdência e Trabalho do Ministério da Economia; e;Carlos da Costa -  Secretário Especial de Produtividade -  Emprego e Competitividade do Ministério da Economia.
2021-03-11,15h10,15h40,Humberto Fernandes de Moura -  Subchefe Adjunto Executivo da Subchefia para Assuntos Jurídicos da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-11,15h50,16h30,Marcelo Sampaio -  Secretário Executivo do Ministério da Infraestrutura,Palácio do Planalto,Tarcísio Gomes de Freitas -  Ministro de Estado da Infraestrutura;;Ricardo Salles -  Ministro de Estado do Meio Ambiente; e;Eduardo Bartolomeo -  Diretor-Presidente da VALE.
2021-03-11,16h30,17h00,Gilson Machado Neto -  Ministro do Turismo,Palácio do Planalto,Carlos Brito -  Diretor-Presidente do Instituto Brasileiro do Turismo – Embratur;;Jorge Seif -  Secretário de Aquicultura e Pesca do Ministério Agricultura -  Pecuária e Abastecimento;;Lucas Felício Fiuza -  Secretário Nacional de Atração de Investimentos -  Parcerias e Concessões do Ministério do Turismo; e;Mauro Benedito de Santana Filho -  Secretário de Coordenação e Governança do Patrimônio da União (SPU) da Secretaria Especial de Desestatização -  Desinvestimento e Mercados do Ministério da Economia.
2021-03-11,17h00,17h20,Fernando Azevedo -  Ministro de Estado da Defesa,Palácio do Planalto,
2021-03-11,17h25,17h45,Onyx Lorenzoni -  Ministro-Chefe da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-12,09h30,10h00,Onyx Lorenzoni -  Ministro-Chefe da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-12,11h00,11h30,Braga Netto -  Ministro-Chefe da Casa Civil da Presidência da República,Palácio do Planalto,
2021-03-12,11h30,12h00,João Roma -  Ministro de Estado da Cidadania,Palácio do Planalto,
2021-03-12,14h30,15h00,Carlos Autran de Oliveira Amaral -  Diretor-Presidente da Companhia das Docas do Estado da Bahia - CODEBA,Palácio do Planalto,
2021-03-12,15h00,15h30,Humberto Fernandes de Moura -  Subchefe Adjunto Executivo da Subchefia para Assuntos Jurídicos da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-12,15h30,16h00,Mario Frias -  Secretário Especial de Cultura do Ministério do Turismo,Palácio do Planalto,
2021-03-12,16h00,16h10,Deputado Sanderson (PSL/RS) -  Vice-Líder do Governo na Câmara dos Deputados,Palácio do Planalto,Luiz Eduardo Ramos -  Ministro-Chefe da Secretaria de Governo da Presidência da República;;Aluisio Mendes -  Deputado (PSC/MA) -  Vice-Líder do Governo na Câmara dos Deputados.; e;Luís Antônio de Araújo Boudens -  Presidente da Federação Nacional dos Policiais Federais – FENAPEF.
2021-03-12,16h10,16h25,Tarcísio Gomes de Freitas -  Ministro de Estado da Infraestrutura; e José Levi Mello do Amaral Júnior -  Advogado-Geral da União,Palácio do Planalto,Marcelo Sampaio -  Secretário Executivo do Ministério da Infraestrutura; e;Humberto Fernandes de Moura -  Subchefe Adjunto Executivo da Subchefia para Assuntos Jurídicos da Secretaria-Geral da Presidência da República.
2021-03-12,16h30,17h00,Fernando Azevedo -  Ministro de Estado da Defesa,Palácio do Planalto,
2021-03-15,10h30,11h00,Ernesto Araújo -  Ministro de Estado das Relações Exteriores,Palácio do Planalto,
2021-03-15,14h00,14h30,Bento Albuquerque -  Ministro de Estado de Minas e Energia,Palácio do Planalto,
