,0
Dinah Andrade de Senae Silva,0.5
Gabrielly Carvalho Louvain,0.5
Ariosto Culau,0.5
Elias Noel,0.5
General Mario Araujo,0.5
Sergio Harfouche,0.5
Maurren Maggi,0.5
Maria Jose Miranda Pereira,0.5
Maria das Graças Braga,0.5
Diogo Matte Amaro,0.5
Diego Salles,0.5
Dione Aparecida Guimarães Lima Rocha Rodrigues,0.5
Marcio Cândido,0.5
Pastor Marcio Roberto Vieira Valadão,0.5
Jose Maciel,0.5
Rafael de Sa Sampaio,0.5
Eliza Samartini,0.5
Jaime Maximino Bagattoli,0.5
Joaquim Domingos Roriz Neto,0.5
Vinícius Torquetti Rocha,0.5
João Sidnei Gessi,0.5
Coronel Antonio Aginaldo de Oliveira,0.5
Eliezer da Costa Giroux,0.5833333333333334
Bayard Freitas Umbuzeiro Filho,0.5833333333333334
Manoel Carvalho Ferreira da Silva Junior,0.5833333333333334
Osmari de Castilho Ribas,0.5833333333333334
Murillo Corrêa Barbosa,0.5833333333333334
Carlos Helmut Kopittke,0.5833333333333334
Jesualdo Conceição da Silva,0.5833333333333334
Luciana Cardoso Guerise,0.5833333333333334
Sergio Paulo Perrucci de Aquino,0.5833333333333334
Angelino CaputoOliveira,0.5833333333333334
Mariza Almeida de Sousa Mendonça,0.6666666666666666
Marcus Vinicius Oliveira dos Santos,0.6666666666666666
Luis Miranda,0.6666666666666666
João Brasil Carvalho Leite,0.6666666666666666
Paulo Franklin,0.6666666666666666
Robson Nascimento de Oliveira,0.75
Gustavo Augusto Freitas de Lima,0.75
Mike Lee,0.75
Desembargador Marcelo Buhatem,0.75
Atila Lins,0.8333333333333333
Renata Gil de Alcântara Videira,0.8333333333333333
Mauro Carvalho Junior,0.8333333333333334
Desembargador Gilson Soares Lemes,0.8333333333333334
Jose Pessoa Leal,0.8333333333333334
Paulo Bengtson,0.8333333333333334
Mateus Simões,0.8333333333333334
Rodrigo Wermelinger,0.9166666666666666
Sergio Freitas de Almeida,0.9166666666666666
Matheus Sinibaldi,0.9166666666666666
Edilson Carrogi Ribeiro Vianna,0.9166666666666666
Jair Mahl,0.9166666666666666
Andre de Souza Monteiro,0.9166666666666666
